external_id,name_ar,name_en,quantity,unit
MEAL-144,توفو,Tofu,150,g
MEAL-144,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-144,بروكلي,Broccoli,90,g
MEAL-144,فلفل رومي,Bell pepper,70,g
MEAL-144,زيت زيتون,Olive oil,7,g
MEAL-144,الريحان والأوريغانو,Basil Oregano seasoning,2,g
MEAL-145,عدس مطبوخ,Cooked lentils,160,g
MEAL-145,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-145,سبانخ,Spinach,90,g
MEAL-145,خيار,Cucumber,70,g
MEAL-145,زيت زيتون,Olive oil,7,g
MEAL-145,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-146,حمص مطبوخ,Cooked chickpeas,130,g
MEAL-146,بطاطس,Potato,190,g
MEAL-146,بروكلي,Broccoli,90,g
MEAL-146,فلفل رومي,Bell pepper,70,g
MEAL-146,زيت زيتون,Olive oil,7,g
MEAL-146,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-147,صدر دجاج,Chicken breast,140,g
MEAL-147,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-147,سبانخ,Spinach,90,g
MEAL-147,خيار,Cucumber,70,g
MEAL-147,زيت زيتون,Olive oil,7,g
MEAL-147,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-148,صدر ديك رومي,Turkey breast,150,g
MEAL-148,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-148,بروكلي,Broccoli,90,g
MEAL-148,فلفل رومي,Bell pepper,70,g
MEAL-148,زيت زيتون,Olive oil,7,g
MEAL-148,البقدونس والليمون,Parsley Lemon seasoning,2,g
MEAL-149,سلمون,Salmon,160,g
MEAL-149,بطاطس,Potato,190,g
MEAL-149,سبانخ,Spinach,90,g
MEAL-149,خيار,Cucumber,70,g
MEAL-149,زيت زيتون,Olive oil,7,g
MEAL-149,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-150,تونة,Tuna,130,g
MEAL-150,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-150,بروكلي,Broccoli,90,g
MEAL-150,فلفل رومي,Bell pepper,70,g
MEAL-150,زيت زيتون,Olive oil,7,g
MEAL-150,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-151,روبيان,Shrimp,140,g
MEAL-151,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-151,سبانخ,Spinach,90,g
MEAL-151,خيار,Cucumber,70,g
MEAL-151,زيت زيتون,Olive oil,7,g
MEAL-151,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-152,لحم بقري قليل الدهن,Lean beef,150,g
MEAL-152,بطاطس,Potato,190,g
MEAL-152,بروكلي,Broccoli,90,g
MEAL-152,فلفل رومي,Bell pepper,70,g
MEAL-152,زيت زيتون,Olive oil,7,g
MEAL-152,إكليل الجبل والفلفل,Rosemary Pepper seasoning,2,g
MEAL-153,توفو,Tofu,160,g
MEAL-153,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-153,سبانخ,Spinach,90,g
MEAL-153,خيار,Cucumber,70,g
MEAL-153,زيت زيتون,Olive oil,7,g
MEAL-153,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-154,عدس مطبوخ,Cooked lentils,130,g
MEAL-154,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-154,بروكلي,Broccoli,90,g
MEAL-154,فلفل رومي,Bell pepper,70,g
MEAL-154,زيت زيتون,Olive oil,7,g
MEAL-154,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-155,حمص مطبوخ,Cooked chickpeas,140,g
MEAL-155,بطاطس,Potato,190,g
MEAL-155,سبانخ,Spinach,90,g
MEAL-155,خيار,Cucumber,70,g
MEAL-155,زيت زيتون,Olive oil,7,g
MEAL-155,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-156,صدر دجاج,Chicken breast,150,g
MEAL-156,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-156,بروكلي,Broccoli,90,g
MEAL-156,فلفل رومي,Bell pepper,70,g
MEAL-156,زيت زيتون,Olive oil,7,g
MEAL-156,الريحان والأوريغانو,Basil Oregano seasoning,2,g
MEAL-157,صدر ديك رومي,Turkey breast,160,g
MEAL-157,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-157,سبانخ,Spinach,90,g
MEAL-157,خيار,Cucumber,70,g
MEAL-157,زيت زيتون,Olive oil,7,g
MEAL-157,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-158,سلمون,Salmon,130,g
MEAL-158,بطاطس,Potato,190,g
MEAL-158,بروكلي,Broccoli,90,g
MEAL-158,فلفل رومي,Bell pepper,70,g
MEAL-158,زيت زيتون,Olive oil,7,g
MEAL-158,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-159,تونة,Tuna,140,g
MEAL-159,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-159,سبانخ,Spinach,90,g
MEAL-159,خيار,Cucumber,70,g
MEAL-159,زيت زيتون,Olive oil,7,g
MEAL-159,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-160,روبيان,Shrimp,150,g
MEAL-160,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-160,بروكلي,Broccoli,90,g
MEAL-160,فلفل رومي,Bell pepper,70,g
MEAL-160,زيت زيتون,Olive oil,7,g
MEAL-160,البقدونس والليمون,Parsley Lemon seasoning,2,g
MEAL-161,لحم بقري قليل الدهن,Lean beef,160,g
MEAL-161,بطاطس,Potato,190,g
MEAL-161,سبانخ,Spinach,90,g
MEAL-161,خيار,Cucumber,70,g
MEAL-161,زيت زيتون,Olive oil,7,g
MEAL-161,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-162,توفو,Tofu,130,g
MEAL-162,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-162,بروكلي,Broccoli,90,g
MEAL-162,فلفل رومي,Bell pepper,70,g
MEAL-162,زيت زيتون,Olive oil,7,g
MEAL-162,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-163,عدس مطبوخ,Cooked lentils,140,g
MEAL-163,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-163,سبانخ,Spinach,90,g
MEAL-163,خيار,Cucumber,70,g
MEAL-163,زيت زيتون,Olive oil,7,g
MEAL-163,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-164,حمص مطبوخ,Cooked chickpeas,150,g
MEAL-164,بطاطس,Potato,190,g
MEAL-164,بروكلي,Broccoli,90,g
MEAL-164,فلفل رومي,Bell pepper,70,g
MEAL-164,زيت زيتون,Olive oil,7,g
MEAL-164,إكليل الجبل والفلفل,Rosemary Pepper seasoning,2,g
MEAL-165,صدر دجاج,Chicken breast,160,g
MEAL-165,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-165,سبانخ,Spinach,90,g
MEAL-165,خيار,Cucumber,70,g
MEAL-165,زيت زيتون,Olive oil,7,g
MEAL-165,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-166,صدر ديك رومي,Turkey breast,130,g
MEAL-166,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-166,بروكلي,Broccoli,90,g
MEAL-166,فلفل رومي,Bell pepper,70,g
MEAL-166,زيت زيتون,Olive oil,7,g
MEAL-166,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-167,سلمون,Salmon,140,g
MEAL-167,بطاطس,Potato,190,g
MEAL-167,سبانخ,Spinach,90,g
MEAL-167,خيار,Cucumber,70,g
MEAL-167,زيت زيتون,Olive oil,7,g
MEAL-167,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-168,تونة,Tuna,150,g
MEAL-168,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-168,بروكلي,Broccoli,90,g
MEAL-168,فلفل رومي,Bell pepper,70,g
MEAL-168,زيت زيتون,Olive oil,7,g
MEAL-168,الريحان والأوريغانو,Basil Oregano seasoning,2,g
MEAL-169,روبيان,Shrimp,160,g
MEAL-169,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-169,سبانخ,Spinach,90,g
MEAL-169,خيار,Cucumber,70,g
MEAL-169,زيت زيتون,Olive oil,7,g
MEAL-169,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-170,لحم بقري قليل الدهن,Lean beef,130,g
MEAL-170,بطاطس,Potato,190,g
MEAL-170,بروكلي,Broccoli,90,g
MEAL-170,فلفل رومي,Bell pepper,70,g
MEAL-170,زيت زيتون,Olive oil,7,g
MEAL-170,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-171,توفو,Tofu,140,g
MEAL-171,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-171,سبانخ,Spinach,90,g
MEAL-171,خيار,Cucumber,70,g
MEAL-171,زيت زيتون,Olive oil,7,g
MEAL-171,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-172,عدس مطبوخ,Cooked lentils,150,g
MEAL-172,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-172,بروكلي,Broccoli,90,g
MEAL-172,فلفل رومي,Bell pepper,70,g
MEAL-172,زيت زيتون,Olive oil,7,g
MEAL-172,البقدونس والليمون,Parsley Lemon seasoning,2,g
MEAL-173,حمص مطبوخ,Cooked chickpeas,160,g
MEAL-173,بطاطس,Potato,190,g
MEAL-173,سبانخ,Spinach,90,g
MEAL-173,خيار,Cucumber,70,g
MEAL-173,زيت زيتون,Olive oil,7,g
MEAL-173,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-174,صدر دجاج,Chicken breast,130,g
MEAL-174,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-174,بروكلي,Broccoli,90,g
MEAL-174,فلفل رومي,Bell pepper,70,g
MEAL-174,زيت زيتون,Olive oil,7,g
MEAL-174,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-175,صدر ديك رومي,Turkey breast,140,g
MEAL-175,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-175,سبانخ,Spinach,90,g
MEAL-175,خيار,Cucumber,70,g
MEAL-175,زيت زيتون,Olive oil,7,g
MEAL-175,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-176,سلمون,Salmon,150,g
MEAL-176,بطاطس,Potato,190,g
MEAL-176,بروكلي,Broccoli,90,g
MEAL-176,فلفل رومي,Bell pepper,70,g
MEAL-176,زيت زيتون,Olive oil,7,g
MEAL-176,إكليل الجبل والفلفل,Rosemary Pepper seasoning,2,g
MEAL-177,تونة,Tuna,160,g
MEAL-177,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-177,سبانخ,Spinach,90,g
MEAL-177,خيار,Cucumber,70,g
MEAL-177,زيت زيتون,Olive oil,7,g
MEAL-177,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-178,روبيان,Shrimp,130,g
MEAL-178,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-178,بروكلي,Broccoli,90,g
MEAL-178,فلفل رومي,Bell pepper,70,g
MEAL-178,زيت زيتون,Olive oil,7,g
MEAL-178,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-179,لحم بقري قليل الدهن,Lean beef,140,g
MEAL-179,بطاطس,Potato,190,g
MEAL-179,سبانخ,Spinach,90,g
MEAL-179,خيار,Cucumber,70,g
MEAL-179,زيت زيتون,Olive oil,7,g
MEAL-179,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-180,توفو,Tofu,150,g
MEAL-180,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-180,بروكلي,Broccoli,90,g
MEAL-180,فلفل رومي,Bell pepper,70,g
MEAL-180,زيت زيتون,Olive oil,7,g
MEAL-180,الريحان والأوريغانو,Basil Oregano seasoning,2,g
MEAL-181,عدس مطبوخ,Cooked lentils,160,g
MEAL-181,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-181,سبانخ,Spinach,90,g
MEAL-181,خيار,Cucumber,70,g
MEAL-181,زيت زيتون,Olive oil,7,g
MEAL-181,القرفة والفانيليا,Cinnamon Vanilla seasoning,2,g
MEAL-182,صدر دجاج,Chicken breast,130,g
MEAL-182,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-182,بروكلي,Broccoli,90,g
MEAL-182,فلفل رومي,Bell pepper,70,g
MEAL-182,زيت زيتون,Olive oil,7,g
MEAL-182,الهيل والسمسم,Cardamom Sesame seasoning,2,g
MEAL-183,صدر ديك رومي,Turkey breast,140,g
MEAL-183,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-183,سبانخ,Spinach,90,g
MEAL-183,خيار,Cucumber,70,g
MEAL-183,زيت زيتون,Olive oil,7,g
MEAL-183,الكركم والفلفل,Turmeric Pepper seasoning,2,g
MEAL-184,سلمون,Salmon,150,g
MEAL-184,بطاطس,Potato,190,g
MEAL-184,بروكلي,Broccoli,90,g
MEAL-184,فلفل رومي,Bell pepper,70,g
MEAL-184,زيت زيتون,Olive oil,7,g
MEAL-184,البقدونس والليمون,Parsley Lemon seasoning,2,g
MEAL-185,تونة,Tuna,160,g
MEAL-185,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-185,سبانخ,Spinach,90,g
MEAL-185,خيار,Cucumber,70,g
MEAL-185,زيت زيتون,Olive oil,7,g
MEAL-185,الليمون والأعشاب,Lemon Herb seasoning,2,g
MEAL-186,روبيان,Shrimp,130,g
MEAL-186,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-186,بروكلي,Broccoli,90,g
MEAL-186,فلفل رومي,Bell pepper,70,g
MEAL-186,زيت زيتون,Olive oil,7,g
MEAL-186,الثوم والبابريكا,Garlic Paprika seasoning,2,g
MEAL-187,لحم بقري قليل الدهن,Lean beef,140,g
MEAL-187,بطاطس,Potato,190,g
MEAL-187,سبانخ,Spinach,90,g
MEAL-187,خيار,Cucumber,70,g
MEAL-187,زيت زيتون,Olive oil,7,g
MEAL-187,الكمون والكزبرة,Cumin Coriander seasoning,2,g
MEAL-188,توفو,Tofu,150,g
MEAL-188,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-188,بروكلي,Broccoli,90,g
MEAL-188,فلفل رومي,Bell pepper,70,g
MEAL-188,زيت زيتون,Olive oil,7,g
MEAL-188,إكليل الجبل والفلفل,Rosemary Pepper seasoning,2,g
MEAL-189,عدس مطبوخ,Cooked lentils,160,g
MEAL-189,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
MEAL-189,سبانخ,Spinach,90,g
MEAL-189,خيار,Cucumber,70,g
MEAL-189,زيت زيتون,Olive oil,7,g
MEAL-189,السماق والنعناع,Sumac Mint seasoning,2,g
MEAL-190,حمص مطبوخ,Cooked chickpeas,130,g
MEAL-190,بطاطس,Potato,190,g
MEAL-190,بروكلي,Broccoli,90,g
MEAL-190,فلفل رومي,Bell pepper,70,g
MEAL-190,زيت زيتون,Olive oil,7,g
MEAL-190,الزنجبيل والليمون الأخضر,Ginger Lime seasoning,2,g
MEAL-191,صدر دجاج,Chicken breast,140,g
MEAL-191,أرز بني مطبوخ,Cooked brown rice,150,g
MEAL-191,سبانخ,Spinach,90,g
MEAL-191,خيار,Cucumber,70,g
MEAL-191,زيت زيتون,Olive oil,7,g
MEAL-191,الشبت والحمضيات,Dill Citrus seasoning,2,g
MEAL-192,صدر ديك رومي,Turkey breast,150,g
MEAL-192,معكرونة قمح كامل مطبوخة,Cooked whole-wheat pasta,170,g
