"external_id","ingredient_order","ingredient_key","name_en","name_ar","quantity","unit","kcal","protein_g","carbs_g","fat_g","source","source_query_url"
"MEAL-006","2","potato","baked potato","baked potato","220","g","191.4","4.2","44.2","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=baked%20potato"
"MEAL-006","3","broccoli","cooked broccoli","cooked broccoli","120","g","42","2.9","8.6","0.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20broccoli"
"MEAL-006","4","oliveoil","olive oil","olive oil","5","g","44.2","0","0","5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-007","1","beef","cooked 90% lean ground beef","cooked 90% lean ground beef","150","g","325.5","39.2","0","17.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%2090%25%20lean%20ground%20beef"
"MEAL-007","2","bulgur","cooked bulgur","cooked bulgur","180","g","149.4","5.6","33.5","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20bulgur"
"MEAL-007","3","tomato","tomato","tomato","100","g","18","0.9","3.9","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-007","4","cucumber","cucumber","cucumber","100","g","15","0.7","3.6","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cucumber"
"MEAL-007","5","oliveoil","olive oil","olive oil","6","g","53","0","0","6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-008","1","tuna","water-packed tuna, drained","water-packed tuna, drained","140","g","162.4","35.7","0","1.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=water-packed%20tuna%2C%20drained"
"MEAL-008","2","pasta","cooked pasta","cooked pasta","180","g","284.4","10.4","55.6","1.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20pasta"
"MEAL-008","3","corn","cooked sweet corn","cooked sweet corn","70","g","67.2","2.4","14.7","1.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20sweet%20corn"
"MEAL-008","4","cucumber","cucumber","cucumber","100","g","15","0.7","3.6","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cucumber"
"MEAL-008","5","yogurt","nonfat Greek yogurt","nonfat Greek yogurt","60","g","35.4","6.2","2.2","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=nonfat%20Greek%20yogurt"
"MEAL-009","1","turkey","cooked turkey breast","cooked turkey breast","130","g","175.5","37.7","0","2.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20turkey%20breast"
"MEAL-009","2","tortilla","whole-wheat tortilla","whole-wheat tortilla","65","g","202.8","5.4","33.9","5.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole-wheat%20tortilla"
"MEAL-009","3","avocado","avocado","avocado","50","g","80","1","4.3","7.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=avocado"
"MEAL-009","4","lettuce","lettuce","lettuce","50","g","7.5","0.7","1.5","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=lettuce"
"MEAL-009","5","tomato","tomato","tomato","70","g","12.6","0.6","2.7","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-009","6","yogurt","nonfat Greek yogurt","nonfat Greek yogurt","40","g","23.6","4.1","1.4","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=nonfat%20Greek%20yogurt"
"MEAL-010","1","chickpeas","cooked chickpeas","cooked chickpeas","160","g","262.4","14.2","43.8","4.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20chickpeas"
"MEAL-010","2","quinoa","cooked quinoa","cooked quinoa","160","g","192","7","34.1","3","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20quinoa"
"MEAL-010","3","cucumber","cucumber","cucumber","100","g","15","0.7","3.6","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cucumber"
"MEAL-010","4","tomato","tomato","tomato","100","g","18","0.9","3.9","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-010","5","tahini","sesame tahini","sesame tahini","18","g","107.1","3.1","3.8","9.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=sesame%20tahini"
"MEAL-011","1","lentils","cooked lentils","cooked lentils","250","g","290","22.5","50.3","1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20lentils"
"MEAL-011","2","carrot","cooked carrots","cooked carrots","80","g","28","0.6","6.6","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20carrots"
"MEAL-011","3","tomato","tomato","tomato","120","g","21.6","1.1","4.7","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=tomato"
"MEAL-011","4","oliveoil","olive oil","olive oil","5","g","44.2","0","0","5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-011","5","bread","whole-wheat bread","whole-wheat bread","60","g","148.2","7.8","24.6","2.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole-wheat%20bread"
"MEAL-012","1","tofu","firm tofu","firm tofu","180","g","259.2","31.1","5","15.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=firm%20tofu"
"MEAL-012","2","sweetpotato","baked sweet potato","baked sweet potato","220","g","198","4.4","45.5","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=baked%20sweet%20potato"
"MEAL-012","3","broccoli","cooked broccoli","cooked broccoli","120","g","42","2.9","8.6","0.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20broccoli"
"MEAL-012","4","oliveoil","olive oil","olive oil","6","g","53","0","0","6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-013","1","shrimp","cooked shrimp","cooked shrimp","170","g","168.3","40.8","0.3","0.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20shrimp"
"MEAL-013","2","couscous","cooked couscous","cooked couscous","180","g","201.6","6.8","41.8","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20couscous"
"MEAL-013","3","broccoli","cooked broccoli","cooked broccoli","100","g","35","2.4","7.2","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20broccoli"
"MEAL-013","4","carrot","cooked carrots","cooked carrots","80","g","28","0.6","6.6","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20carrots"
"MEAL-013","5","oliveoil","olive oil","olive oil","6","g","53","0","0","6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-014","1","cod","cooked cod","cooked cod","180","g","189","41","0","1.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20cod"
"MEAL-014","2","rice","cooked white rice","cooked white rice","170","g","221","4.6","47.9","0.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20white%20rice"
"MEAL-014","3","spinach","spinach","spinach","100","g","23","2.9","3.6","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=spinach"
"MEAL-014","4","oliveoil","olive oil","olive oil","7","g","61.9","0","0","7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
"MEAL-015","1","cottage","cottage cheese","cottage cheese","180","g","176.4","20","6.1","7.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cottage%20cheese"
"MEAL-015","2","apple","apple","apple","120","g","62.4","0.4","16.6","0.2","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=apple"
"MEAL-015","3","almonds","almonds","almonds","12","g","69.5","2.5","2.6","6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=almonds"
"MEAL-016","1","yogurt","nonfat Greek yogurt","nonfat Greek yogurt","200","g","118","20.6","7.2","0.8","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=nonfat%20Greek%20yogurt"
"MEAL-016","2","berries","mixed berries","mixed berries","100","g","50","1","12","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=mixed%20berries"
"MEAL-016","3","chia","chia seeds","chia seeds","10","g","48.6","1.7","4.2","3.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=chia%20seeds"
"MEAL-017","1","banana","banana","banana","130","g","115.7","1.4","29.6","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=banana"
"MEAL-017","2","peanutbutter","peanut butter","peanut butter","20","g","117.6","5","4","10","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=peanut%20butter"
"MEAL-018","1","oats","rolled oats, dry","rolled oats, dry","45","g","170.6","5.9","30.5","2.9","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=rolled%20oats%2C%20dry"
"MEAL-018","2","milk","whole milk","whole milk","200","g","122","6.4","9.6","6.6","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole%20milk"
"MEAL-018","3","dates","Medjool dates","Medjool dates","35","g","98.7","0.9","26.3","0.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=Medjool%20dates"
"MEAL-019","1","whey","whey protein powder","whey protein powder","30","g","120","24","3","2.1","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whey%20protein%20powder"
"MEAL-019","2","banana","banana","banana","120","g","106.8","1.3","27.4","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=banana"
"MEAL-019","3","milk","whole milk","whole milk","250","g","152.5","8","12","8.3","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=whole%20milk"
"MEAL-020","1","chicken","cooked grilled chicken breast","cooked grilled chicken breast","180","g","297","55.8","0","6.5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20grilled%20chicken%20breast"
"MEAL-020","2","rice","cooked white rice","cooked white rice","220","g","286","5.9","62","0.7","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20white%20rice"
"MEAL-020","3","broccoli","cooked broccoli","cooked broccoli","100","g","35","2.4","7.2","0.4","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=cooked%20broccoli"
"MEAL-020","4","oliveoil","olive oil","olive oil","5","g","44.2","0","0","5","USDA FoodData Central","https://fdc.nal.usda.gov/fdc-app.html#/food-search?query=olive%20oil"
