"external_id","name_ar","name_en","meal_type","calories","protein_g","carbs_g","fat_g","serving_size","allergens","dietary_tags","review_status","image_master","image_delivery","image_thumbnail"
"MEAL-074","ماكريل مع البطاطس والسلطة","Mackerel Potato Green Salad","Lunch","486","27.9","40.5","24.1","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-074.png","delivery/MEAL-074/cover.webp","thumbnail/MEAL-074/cover-thumb.webp"
"MEAL-075","لحم بقري مع الشعير والفاصوليا","Beef Barley Green Bean Plate","Lunch","592","46.6","55.5","20.1","1 serving","gluten","high_protein","approved","images/MEAL-075.png","delivery/MEAL-075/cover.webp","thumbnail/MEAL-075/cover-thumb.webp"
"MEAL-076","معكرونة بلح البحر والطماطم","Mussel Tomato Pasta","Lunch","419","28.8","53.0","11.6","1 serving","shellfish|gluten","high_protein","approved","images/MEAL-076.png","delivery/MEAL-076/cover.webp","thumbnail/MEAL-076/cover-thumb.webp"
"MEAL-077","تمبيه مع نودلز الأرز والبوك تشوي","Tempeh Rice Noodle Bowl","Lunch","478","30.3","50.7","19.5","1 serving","soy|peanuts","vegetarian|vegan|gluten_free|high_protein","approved","images/MEAL-077.png","delivery/MEAL-077/cover.webp","thumbnail/MEAL-077/cover-thumb.webp"
"MEAL-078","فخذ دجاج مع القرنبيط والفريكة","Chicken Thigh Cauliflower Freekeh","Dinner","607","48.7","45.3","26.1","1 serving","gluten","high_protein","approved","images/MEAL-078.png","delivery/MEAL-078/cover.webp","thumbnail/MEAL-078/cover-thumb.webp"
"MEAL-079","صينية الباذنجان والعدس","Baked Eggplant Lentil Tray","Dinner","366","19.6","56.1","9.4","1 serving","eggs","gluten_free","approved","images/MEAL-079.png","delivery/MEAL-079/cover.webp","thumbnail/MEAL-079/cover-thumb.webp"
"MEAL-080","دينيس مع هريس القرنبيط","Sea Bream Cauliflower Mash","Dinner","370","44.6","10.1","17.5","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-080.png","delivery/MEAL-080/cover.webp","thumbnail/MEAL-080/cover-thumb.webp"
"MEAL-081","تشيلي الديك الرومي والفاصوليا","Turkey Kidney Bean Chili","Dinner","530","54.6","49.7","12.8","1 serving","","gluten_free|high_protein","approved","images/MEAL-081.png","delivery/MEAL-081/cover.webp","thumbnail/MEAL-081/cover-thumb.webp"
"MEAL-082","تروت مع الشعير والكراث","Trout Barley Leek Dinner","Dinner","528","41.9","45.6","19.6","1 serving","fish|gluten","high_protein","approved","images/MEAL-082.png","delivery/MEAL-082/cover.webp","thumbnail/MEAL-082/cover-thumb.webp"
"MEAL-083","دجاج بالزيتون والكينوا","Chicken Olive Quinoa Tagine Bowl","Dinner","530","54.1","36.2","18.0","1 serving","","gluten_free|high_protein","approved","images/MEAL-083.png","delivery/MEAL-083/cover.webp","thumbnail/MEAL-083/cover-thumb.webp"
"MEAL-084","ملفوف محشي باللحم والأرز","Beef and Rice Stuffed Cabbage","Dinner","503","41.9","55.0","12.2","1 serving","","gluten_free|high_protein","approved","images/MEAL-084.png","delivery/MEAL-084/cover.webp","thumbnail/MEAL-084/cover-thumb.webp"
"MEAL-085","إدامامي مسلوق","Salted Edamame Snack","Snack","218","21.4","16.0","9.4","1 serving","soy","vegetarian|vegan|gluten_free","approved","images/MEAL-085.png","delivery/MEAL-085/cover.webp","thumbnail/MEAL-085/cover-thumb.webp"
"MEAL-086","حمص مع الجزر والكرفس","Hummus Carrot Celery Snack","Snack","173","7.4","20.6","7.9","1 serving","sesame","vegetarian|vegan|gluten_free","approved","images/MEAL-086.png","delivery/MEAL-086/cover.webp","thumbnail/MEAL-086/cover-thumb.webp"
"MEAL-087","سكير بالكيوي والكتان","Skyr Kiwi Flax Cup","Snack","220","24.3","22.1","4.2","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-087.png","delivery/MEAL-087/cover.webp","thumbnail/MEAL-087/cover-thumb.webp"
"MEAL-088","بيض مسلوق مع الخيار","Boiled Eggs with Cucumber","Snack","173","13.4","5.4","10.7","1 serving","eggs","gluten_free","approved","images/MEAL-088.png","delivery/MEAL-088/cover.webp","thumbnail/MEAL-088/cover-thumb.webp"
"MEAL-089","حمص محمص مع العنب","Roasted Chickpeas and Grapes","Snack","214","8.0","43.6","2.3","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-089.png","delivery/MEAL-089/cover.webp","thumbnail/MEAL-089/cover-thumb.webp"
"MEAL-090","فراولة مع شوكولاتة داكنة","Strawberries and Dark Chocolate","Snack","168","2.6","20.7","9.0","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-090.png","delivery/MEAL-090/cover.webp","thumbnail/MEAL-090/cover-thumb.webp"
"MEAL-091","بطاطس مسلوقة مع العسل","Boiled Potato with Honey","Pre-workout","235","3.9","56.7","0.2","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-091.png","delivery/MEAL-091/cover.webp","thumbnail/MEAL-091/cover-thumb.webp"
"MEAL-092","أرز أبيض مع الزبيب","White Rice with Raisins","Pre-workout","324","5.8","74.5","0.7","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-092.png","delivery/MEAL-092/cover.webp","thumbnail/MEAL-092/cover-thumb.webp"
"MEAL-093","موز مع التمر","Banana and Dates","Pre-workout","218","2.0","57.4","0.4","1 serving","","vegetarian|vegan|gluten_free","approved","images/MEAL-093.png","delivery/MEAL-093/cover.webp","thumbnail/MEAL-093/cover-thumb.webp"
"MEAL-094","أرز بياض البيض والبازلاء","Egg-White Rice and Peas","Post-workout","430","28.8","64.5","5.1","1 serving","eggs","gluten_free|high_protein","approved","images/MEAL-094.png","delivery/MEAL-094/cover.webp","thumbnail/MEAL-094/cover-thumb.webp"
"MEAL-095","جبن قريش مع البطاطس المشوية","Cottage Cheese Baked Potato","Post-workout","348","27.2","49.0","4.8","1 serving","milk","vegetarian|gluten_free|high_protein","approved","images/MEAL-095.png","delivery/MEAL-095/cover.webp","thumbnail/MEAL-095/cover-thumb.webp"
"MEAL-096","مخفوق الواي بالكاكاو والحليب","Cocoa Whey Milk Shake","Post-workout","256","32.9","18.0","7.3","1 serving","milk","gluten_free|high_protein","approved","images/MEAL-096.png","delivery/MEAL-096/cover.webp","thumbnail/MEAL-096/cover-thumb.webp"
"MEAL-097","قد مع الأرز والليمون","Cod Rice Lemon Plate","Post-workout","462","43.8","52.6","7.1","1 serving","fish","gluten_free|high_protein","approved","images/MEAL-097.png","delivery/MEAL-097/cover.webp","thumbnail/MEAL-097/cover-thumb.webp"
"MEAL-098","حليب شوكولاتة قليل الدسم","Low-Fat Chocolate Milk","Drinks","228","10.5","36.6","5.7","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-098.png","delivery/MEAL-098/cover.webp","thumbnail/MEAL-098/cover-thumb.webp"
"MEAL-099","مشروب الكفير والتوت","Berry Kefir Drink","Drinks","148","10.1","22.5","2.7","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-099.png","delivery/MEAL-099/cover.webp","thumbnail/MEAL-099/cover-thumb.webp"
"MEAL-100","حليب التمر والكاكاو","Date Cocoa Milk Drink","Drinks","247","10.0","44.9","5.8","1 serving","milk","vegetarian|gluten_free","approved","images/MEAL-100.png","delivery/MEAL-100/cover.webp","thumbnail/MEAL-100/cover-thumb.webp"
